property_id,transaction_id,address,zipcode,good_sell,list,url,lat,long,date_listed,transaction_date
9034154,23935336,"2024 E Monte Cristo Ave, Phoenix, AZ 85022 ",85022,0.7360119521617889,199000,https://www.zillow.com/homedetails/2024-E-Monte-Cristo-Ave-Phoenix-AZ-85022/8008162_zpid/,33.6321,-112.038,6646,2018-03-13
311927,23867850,"1329 W Taylor St, Phoenix, AZ 85007 ",85007,0.7359511852264404,206000,https://www.zillow.com/homedetails/1329-W-Taylor-St-Phoenix-AZ-85007/7521763_zpid/,33.454,-112.09,6591,2018-01-17
625114,23886893,"2235 S Hosick, Mesa, AZ 85210 ",85210,0.7358431220054626,200000,https://www.zillow.com/homedetails/2235-S-Hosick-Mesa-AZ-85210/8170281_zpid/,33.3741,-111.848,6621,2018-02-16
433435,23843217,"7318 W Glenrosa Ave, Phoenix, AZ 85033 ",85033,0.7357937097549438,154999,https://www.zillow.com/homedetails/7318-W-Glenrosa-Ave-Phoenix-AZ-85033/7711188_zpid/,33.4994,-112.21700000000001,6541,2017-11-28
9026278,23865568,"8630 W El Caminito Dr, Peoria, AZ 85345 ",85345,0.7356130480766296,199999,https://www.zillow.com/homedetails/8630-W-El-Caminito-Dr-Peoria-AZ-85345/50187525_zpid/,33.5576,-112.24600000000001,6585,2018-01-11
320433,23916653,"2505 N 14TH St, Phoenix, AZ 85006 ",85006,0.7353348731994629,249900,https://www.zillow.com/homedetails/2505-N-14TH-St-Phoenix-AZ-85006/7532448_zpid/,33.4751,-112.052,6647,2018-03-14
9030011,23905769,"9138 W Kimberly Way, Peoria, AZ 85382 ",85382,0.73529252409935,239900,https://www.zillow.com/homedetails/9138-W-Kimberly-Way-Peoria-AZ-85382/7896528_zpid/,33.6559,-112.257,6600,2018-01-26
9021586,23838024,"8142 W Sweetwater Ave, Peoria, AZ 85381 ",85381,0.7352676391601562,240000,https://www.zillow.com/homedetails/8142-W-Sweetwater-Ave-Peoria-AZ-85381/7913307_zpid/,33.6028,-112.235,6529,2017-11-16
389239,23884680,"3902 W State Ave, Phoenix, AZ 85051 ",85051,0.7343678772449493,214900,https://www.zillow.com/homedetails/3902-W-State-Ave-Phoenix-AZ-85051/7757787_zpid/,33.5432,-112.14299999999999,6607,2018-02-02
9030777,23911064,"6011 W Lamar Rd, Glendale, AZ 85301 ",85301,0.7334227561950684,230000,https://www.zillow.com/homedetails/6011-W-Lamar-Rd-Glendale-AZ-85301/2091241534_zpid/,33.5367,-112.19,6607,2018-02-02
248302,23882154,"3449 W Port Au Prince Ln, Phoenix, AZ 85053 ",85053,0.7312971353530884,169000,https://www.zillow.com/homedetails/3449-W-Port-Au-Prince-Ln-Phoenix-AZ-85053/7943679_zpid/,33.6228,-112.133,6610,2018-02-05
397949,23882266,"8626 N 37th Ave, Phoenix, AZ 85051 ",85051,0.731288880109787,170000,https://www.zillow.com/homedetails/8626-N-37th-Ave-Phoenix-AZ-85051/7752451_zpid/,33.5627,-112.139,6597,2018-01-23
9029846,23905037,"7351 W Eva St, Peoria, AZ 85345 ",85345,0.7303265929222107,219990,https://www.zillow.com/homedetails/7351-W-Eva-St-Peoria-AZ-85345/7702451_zpid/,33.5684,-112.21700000000001,6609,2018-02-04
24722,23873850,"9618 N 10th Ave, Phoenix, AZ 85021 ",85021,0.729616105556488,224900,https://www.zillow.com/homedetails/9618-N-10th-Ave-Phoenix-AZ-85021/2113547855_zpid/,33.5738,-112.086,6607,2018-02-02
9030927,23910921,"2344 W Echo Ln, Phoenix, AZ 85021 ",85021,0.7295266389846802,205000,https://www.zillow.com/homedetails/2344-W-Echo-Ln-Phoenix-AZ-85021/7782743_zpid/,33.5598,-112.11,6608,2018-02-03
440456,23867239,"8111 W College Dr, Phoenix, AZ 85033 ",85033,0.7289356887340546,145000,https://www.zillow.com/homedetails/8111-W-College-Dr-Phoenix-AZ-85033/7482592_zpid/,33.5078,-112.234,6586,2018-01-12
9027693,23910838,"4353 W Morrow Dr, Glendale, AZ 85308 ",85308,0.7284818589687347,244900,https://www.zillow.com/homedetails/4353-W-Morrow-Dr-Glendale-AZ-85308/7938793_zpid/,33.6569,-112.154,6619,2018-02-14
8977430,22376634,"1505 W Hadley St, Phoenix, AZ 85007 ",85007,0.728203147649765,180000,https://www.zillow.com/homedetails/1505-W-Hadley-St-Phoenix-AZ-85007/2112748542_zpid/,33.4392,-112.09200000000001,6414,2017-07-24
332307,23881944,"1124 W Cinnabar Ave, Phoenix, AZ 85021 ",85021,0.728169858455658,197500,https://www.zillow.com/homedetails/1124-W-Cinnabar-Ave-Phoenix-AZ-85021/7781762_zpid/,33.577,-112.088,6616,2018-02-11
354621,23808089,"2310 E Winchcomb Dr, Phoenix, AZ 85022 ",85022,0.7277246713638306,224900,https://www.zillow.com/homedetails/2310-E-Winchcomb-Dr-Phoenix-AZ-85022/8010116_zpid/,33.6168,-112.03399999999999,6507,2017-10-25
9032265,23920037,"5613 W Campo Bello Dr, Glendale, AZ 85308 ",85308,0.7275768220424652,215000,https://www.zillow.com/homedetails/5613-W-Campo-Bello-Dr-Glendale-AZ-85308/8099634_zpid/,33.6432,-112.18,6648,2018-03-15
9030034,23905759,"7410 W Sierra St, Peoria, AZ 85345 ",85345,0.7274287045001984,249777,https://www.zillow.com/homedetails/7410-W-Sierra-St-Peoria-AZ-85345/7700341_zpid/,33.5901,-112.219,6599,2018-01-25
554321,23878782,"2014 N 24TH St, Phoenix, AZ 85008 ",85008,0.7255570590496063,179900,https://www.zillow.com/homedetails/2014-N-24TH-St-Phoenix-AZ-85008/7531483_zpid/,33.47,-112.031,6614,2018-02-09
9025462,23873917,"211 W Hadley St, Phoenix, AZ 85003 ",85003,0.725124180316925,99900,https://www.zillow.com/homedetails/211-W-Hadley-St-Phoenix-AZ-85003/7522835_zpid/,33.4389,-112.07700000000001,6612,2018-02-07
389681,23882088,"2623 W Willow Ave, Phoenix, AZ 85029 ",85029,0.7248519659042358,169900,https://www.zillow.com/homedetails/2623-W-Willow-Ave-Phoenix-AZ-85029/7738547_zpid/,33.6076,-112.116,6612,2018-02-07
9025717,23858269,"3333 W Grovers Ave, Phoenix, AZ 85053 ",85053,0.7246848344802856,162000,https://www.zillow.com/homedetails/3333-W-Grovers-Ave-Phoenix-AZ-85053/2091717911_zpid/,33.6474,-112.131,6564,2017-12-21
