property_id,transaction_id,address,zipcode,ypred,list,url
8959372,21816212,"1561 S 174th Ln, Goodyear, AZ 85338 ",85338,0.5907559990882874,282500,https://www.zillow.com/homedetails/1561-S-174th-Ln-Goodyear-AZ-85338/55287126_zpid/
7526840,22235776,"15773 W Caribbean Ln, Surprise, AZ 85379 ",85379,0.5906171798706055,238000,https://www.zillow.com/homedetails/15773-W-Caribbean-Ln-Surprise-AZ-85379/64694580_zpid/
8959161,21814187,"17345 W Red Bird Rd, Surprise, AZ 85387 ",85387,0.5905759930610657,269500,https://www.zillow.com/homedetails/17345-W-Red-Bird-Rd-Surprise-AZ-85387/71628786_zpid/
1499077,21588246,"17836 W Eugene Ter, Surprise, AZ 85388 ",85388,0.590455949306488,279500,https://www.zillow.com/homedetails/17836-W-Eugene-Ter-Surprise-AZ-85388/82825319_zpid/
8951381,21928557,"15207 W Cameron Dr, Surprise, AZ 85379 ",85379,0.590455949306488,309900,https://www.zillow.com/homedetails/15207-W-Cameron-Dr-Surprise-AZ-85379/60965109_zpid/
1500307,21995242,"18017 W Desert Ln, Surprise, AZ 85388 ",85388,0.590455949306488,305000,https://www.zillow.com/homedetails/18017-W-Desert-Ln-Surprise-AZ-85388/82237412_zpid/
1882952,22064864,"14586 W Mandalay Ln, Surprise, AZ 85379 ",85379,0.5903801918029785,305000,https://www.zillow.com/homedetails/14586-W-Mandalay-Ln-Surprise-AZ-85379/67716316_zpid/
1493233,21814201,"17540 W Larkspur Dr, Surprise, AZ 85388 ",85388,0.5903801918029785,279999,https://www.zillow.com/homedetails/17540-W-Larkspur-Dr-Surprise-AZ-85388/95099707_zpid/
8962331,21906943,"16178 W Meade Ln, Goodyear, AZ 85338 ",85338,0.590315043926239,269900,https://www.zillow.com/homedetails/16178-W-Meade-Ln-Goodyear-AZ-85338/63202199_zpid/
200620,22344924,"6805 S 40th Dr, Phoenix, AZ 85041 ",85041,0.5902594327926636,255990,https://www.zillow.com/homedetails/6805-S-40th-Dr-Phoenix-AZ-85041/55258517_zpid/
1270978,21980447,"3911 E Frances Ln, Gilbert, AZ 85295 ",85295,0.5902560353279114,300000,https://www.zillow.com/homedetails/3911-E-Frances-Ln-Gilbert-AZ-85295/95178613_zpid/
7542896,21923885,"11442 W Lucas Dr, Surprise, AZ 85378 ",85378,0.5900453329086304,305314,https://www.zillow.com/homedetails/11442-W-Lucas-Dr-Surprise-AZ-85378/2094575636_zpid/
8945913,21929902,"16211 W Desert Mirage Dr, Surprise, AZ 85379 ",85379,0.5899150371551514,259900,https://www.zillow.com/homedetails/16211-W-Desert-Mirage-Dr-Surprise-AZ-85379/67795037_zpid/
1483412,22262302,"16423 N 172nd Ave, Surprise, AZ 85388 ",85388,0.5893738269805908,265000,https://www.zillow.com/homedetails/16423-N-172nd-Ave-Surprise-AZ-85388/67768305_zpid/
8967297,22245762,"15040 W Windrose Dr, Surprise, AZ 85379 ",85379,0.5893738269805908,244900,https://www.zillow.com/homedetails/15040-W-Windrose-Dr-Surprise-AZ-85379/60993756_zpid/
193698,22138371,"2507 W Maldonado Rd, Phoenix, AZ 85041 ",85041,0.5891143679618835,269000,https://www.zillow.com/homedetails/2507-W-Maldonado-Rd-Phoenix-AZ-85041/62727653_zpid/
19637,22261254,"9810 S 44th Dr, Laveen, AZ 85339 ",85339,0.5891005396842957,309000,https://www.zillow.com/homedetails/9810-S-44th-Dr-Laveen-AZ-85339/67771621_zpid/
8947232,21959737,"7127 W Irwin Ave, Laveen, AZ 85339 ",85339,0.5890324711799622,289900,https://www.zillow.com/homedetails/7127-W-Irwin-Ave-Laveen-AZ-85339/82823277_zpid/
360069,22348252,"3419 S 87th Dr, Tolleson, AZ 85353 ",85353,0.5887678861618042,257000,https://www.zillow.com/homedetails/3419-S-87th-Dr-Tolleson-AZ-85353/81969664_zpid/
1848256,22304915,"15151 W Columbine Dr, Surprise, AZ 85379 ",85379,0.5885345935821533,305000,https://www.zillow.com/homedetails/15151-W-Columbine-Dr-Surprise-AZ-85379/95083259_zpid/
8948563,21898843,"18168 W Desert Blossom Dr, Goodyear, AZ 85338 ",85338,0.5882495641708374,269900,https://www.zillow.com/homedetails/18168-W-Desert-Blossom-Dr-Goodyear-AZ-85338/55281920_zpid/
8969579,22279921,"6845 W Alta Vista Rd, Laveen, AZ 85339 ",85339,0.5882100462913513,275000,https://www.zillow.com/homedetails/6845-W-Alta-Vista-Rd-Laveen-AZ-85339/67788919_zpid/
5097869,21948675,"17874 N Bell Pointe Blvd, Surprise, AZ 85374 ",85374,0.5882001519203186,273000,https://www.zillow.com/homedetails/17874-N-Bell-Pointe-Blvd-Surprise-AZ-85374/71610958_zpid/
872794,21973507,"2305 S 119th Dr, Avondale, AZ 85323 ",85323,0.5881360769271851,279900,https://www.zillow.com/homedetails/2305-S-119th-Dr-Avondale-AZ-85323/95073975_zpid/
196208,22030391,"3443 W Saint Anne Ave, Phoenix, AZ 85041 ",85041,0.588030993938446,229900,https://www.zillow.com/homedetails/3443-W-Saint-Anne-Ave-Phoenix-AZ-85041/82819898_zpid/
8973246,22320170,"6411 S 50th Dr, Laveen, AZ 85339 ",85339,0.587856113910675,265000,https://www.zillow.com/homedetails/6411-S-50th-Dr-Laveen-AZ-85339/71604610_zpid/
7478106,22320068,"4939 W Apollo Rd, Laveen, AZ 85339 ",85339,0.587856113910675,258800,https://www.zillow.com/homedetails/4939-W-Apollo-Rd-Laveen-AZ-85339/67788904_zpid/
8973245,22320151,"6520 S 50th Ln, Laveen, AZ 85339 ",85339,0.587856113910675,269000,https://www.zillow.com/homedetails/6520-S-50th-Ln-Laveen-AZ-85339/71604647_zpid/
8968958,22320065,"4822 W St Charles Ave, Laveen, AZ 85339 ",85339,0.587856113910675,239777,https://www.zillow.com/homedetails/4822-W-St-Charles-Ave-Laveen-AZ-85339/71599841_zpid/
8938458,22350482,"5310 W Beautiful Ln, Laveen, AZ 85339 ",85339,0.587856113910675,259900,https://www.zillow.com/homedetails/5310-W-Beautiful-Ln-Laveen-AZ-85339/81951847_zpid/
7385552,21835465,"14266 W Harvard St, Goodyear, AZ 85395 ",85395,0.5877850651741028,285000,https://www.zillow.com/homedetails/14266-W-Harvard-St-Goodyear-AZ-85395/67795702_zpid/
8959387,21838699,"2449 N 142nd Ave, Goodyear, AZ 85395 ",85395,0.5877850651741028,310000,https://www.zillow.com/homedetails/2449-N-142nd-Ave-Goodyear-AZ-85395/81973129_zpid/
8971737,22306561,"10339 W Southgate Ave, Tolleson, AZ 85353 ",85353,0.5877363681793213,235000,https://www.zillow.com/homedetails/10339-W-Southgate-Ave-Tolleson-AZ-85353/82226245_zpid/
920808,21973257,"22602 W Ashleigh Marie Dr, Buckeye, AZ 85326 ",85326,0.5873410701751709,284900,https://www.zillow.com/homedetails/22602-W-Ashleigh-Marie-Dr-Buckeye-AZ-85326/67796824_zpid/
863818,22288488,"11880 W Hadley St, Avondale, AZ 85323 ",85323,0.587313175201416,275000,https://www.zillow.com/homedetails/11880-W-Hadley-St-Avondale-AZ-85323/60993441_zpid/
1478441,22360740,"15410 N 170th Ln, Surprise, AZ 85388 ",85388,0.5872896313667297,262000,https://www.zillow.com/homedetails/15410-N-170th-Ln-Surprise-AZ-85388/67761099_zpid/
1151217,22350358,"12721 W Calavar Rd, El Mirage, AZ 85335 ",85335,0.5872896313667297,244000,https://www.zillow.com/homedetails/12721-W-Calavar-Rd-El-Mirage-AZ-85335/59983007_zpid/
