,address,ypred,list,url
7419033,"31307 N 169TH Pl, Rio Verde, AZ 85263 ",0.5550788044929504,249900,https://www.zillow.com/homedetails/31307-N-169TH-Pl-Rio-Verde-AZ-85263/60982869_zpid/
7386190,"16918 E Rancho Laredo Dr, Rio Verde, AZ 85263 ",0.5550788044929504,415000,https://www.zillow.com/homedetails/16918-E-Rancho-Laredo-Dr-Rio-Verde-AZ-85263/82820094_zpid/
5233121,"85 S 224TH Ave, Buckeye, AZ 85326 ",0.5550788044929504,207900,https://www.zillow.com/homedetails/85-S-224TH-Ave-Buckeye-AZ-85326/95145435_zpid/
7453788,"27 E Inglewood St, Mesa, AZ 85201 ",0.5550788044929504,149900,https://www.zillow.com/homedetails/27-E-Inglewood-St-Mesa-AZ-85201/7615082_zpid/
7425028,"000 W Highland Ave, Phoenix, AZ 85033 ",0.5550788044929504,150000,https://www.zillow.com/homedetails/000-W-Highland-Ave-Phoenix-AZ-85033/2095172459_zpid/
7394811,"211 N Sandal --, Mesa, AZ 85205 ",0.5550788044929504,248700,https://www.zillow.com/homedetails/211-N-Sandal-Mesa-AZ-85205/2095577368_zpid/
7425031,"2697 N 73rd Gln, Phoenix, AZ 85035 ",0.5550788044929504,225000,https://www.zillow.com/homedetails/2697-N-73rd-Gln-Phoenix-AZ-85035/95183694_zpid/
7417361,"30600 N Pima Rd UNIT 108, Scottsdale, AZ 85266 ",0.5550788044929504,1439900,https://www.zillow.com/homedetails/30600-N-Pima-Rd-UNIT-108-Scottsdale-AZ-85266/2095265302_zpid/
7429561,"160 N Sandal, Mesa, AZ 85205 ",0.5550788044929504,233635,https://www.zillow.com/homedetails/160-N-Sandal-Mesa-AZ-85205/2095152493_zpid/
7434306,"10770 W Bronco Trl, Peoria, AZ 85383 ",0.5550788044929504,355990,https://www.zillow.com/homedetails/10770-W-Bronco-Trl-Peoria-AZ-85383/2097985481_zpid/
7413230,"162 N Sandal, Mesa, AZ 85205 ",0.5550788044929504,236290,https://www.zillow.com/homedetails/162-N-Sandal-Mesa-AZ-85205/2095321050_zpid/
7459462,"9290 W Sands Dr, Peoria, AZ 85383 ",0.5550788044929504,489411,https://www.zillow.com/homedetails/9290-W-Sands-Dr-Peoria-AZ-85383/2094879757_zpid/
7404833,"165 N Sandal, Mesa, AZ 85205 ",0.5550788044929504,247505,https://www.zillow.com/homedetails/165-N-Sandal-Mesa-AZ-85205/2095404502_zpid/
7427536,"14635 N 90th Ln, Peoria, AZ 85381 ",0.5550788044929504,275000,https://www.zillow.com/homedetails/14635-N-90th-Ln-Peoria-AZ-85381/7909254_zpid/
7404832,"163 N Sandal, Mesa, AZ 85205 ",0.5550788044929504,236370,https://www.zillow.com/homedetails/163-N-Sandal-Mesa-AZ-85205/2095404501_zpid/
