address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"1771 Sutter St, San Francisco, CA 94115",1,1,900,zillow_sf,http://www.zillow.com/homedetails/1771-Sutter-St-San-Francisco-CA-94115/2105968008_zpid/,-122.429,37.7864,51.5982,,0,1,,0.0042,81918,rental,4195,closed,42,2016-02-19,2016-01-08,Lower Pacific Heights,42,SF
"178 Day St, San Francisco, CA 94131",2,1,1005,zillow_sf,http://www.zillow.com/homedetails/178-Day-St-San-Francisco-CA-94131/69819398_zpid/,-122.426,37.7432,47.2027,1910,0,1,,0.00721388,81919,rental,6910,closed,9,2016-02-09,2016-01-31,Noe Valley,53,SF
"181 Ofarrell St, San Francisco, CA 94102",1,1,1094,zillow_sf,http://www.zillow.com/homedetails/181-Ofarrell-St-San-Francisco-CA-94102/2131042112_zpid/,-122.408,37.7863,15.3914,2006,0,1,,0.0155293,81926,rental,5150,closed,63,2012-10-04,2012-08-02,Downtown,14,SF
"181 Ofarrell St, San Francisco, CA 94102",1,1,1094,zillow_sf,http://www.zillow.com/homedetails/181-Ofarrell-St-San-Francisco-CA-94102/2131042112_zpid/,-122.408,37.7863,15.3914,2006,0,1,,0.0155293,81927,rental,5200,closed,167,2013-05-30,2012-12-14,Downtown,14,SF
"181 Ofarrell St, San Francisco, CA 94102",1,1,1094,zillow_sf,http://www.zillow.com/homedetails/181-Ofarrell-St-San-Francisco-CA-94102/2131042112_zpid/,-122.408,37.7863,15.3914,2006,0,1,,0.0155293,81928,rental,5300,closed,95,2013-05-30,2013-02-24,Downtown,14,SF
"181 Ofarrell St, San Francisco, CA 94102",1,1,1094,zillow_sf,http://www.zillow.com/homedetails/181-Ofarrell-St-San-Francisco-CA-94102/2131042112_zpid/,-122.408,37.7863,15.3914,2006,0,1,,0.0155293,81930,rental,4095,closed,31,2015-06-08,2015-05-08,Downtown,14,SF
"181 Ofarrell St, San Francisco, CA 94102",1,1,1094,zillow_sf,http://www.zillow.com/homedetails/181-Ofarrell-St-San-Francisco-CA-94102/2131042112_zpid/,-122.408,37.7863,15.3914,2006,0,1,,0.0155293,81931,rental,5200,closed,60,2016-03-06,2016-01-06,Downtown,14,SF
"181 Ofarrell St, San Francisco, CA 94102",1,1,1094,zillow_sf,http://www.zillow.com/homedetails/181-Ofarrell-St-San-Francisco-CA-94102/2131042112_zpid/,-122.408,37.7863,15.3914,2006,0,1,,0.0155293,81932,rental,4900,closed,43,2016-02-26,2016-01-14,Downtown,14,SF
"1860 Washington St APT 301, San Francisco, CA 94109",1,1,919,zillow_sf,http://www.zillow.com/homedetails/1860-Washington-St-APT-301-San-Francisco-CA-94109/15073891_zpid/,-122.424,37.7933,64.7609,1983,1,3,,0.00215407,81939,rental,3295,closed,14,2013-04-03,2013-03-20,Pacific Heights,62,SF
"1860 Washington St APT 301, San Francisco, CA 94109",1,1,919,zillow_sf,http://www.zillow.com/homedetails/1860-Washington-St-APT-301-San-Francisco-CA-94109/15073891_zpid/,-122.424,37.7933,64.7609,1983,1,3,,0.00215407,81941,rental,3495,closed,21,2014-11-12,2014-10-22,Pacific Heights,62,SF
