,address,ypred,list,gain-loss,gain-loss%,days_pred,url
6781778,"7160 Fairwind Acres Pl, Las Vegas, NV 89131 ",198607.375,279900,-81292.625,-0.2904345301893534,152.72238159179688,https://www.zillow.com/homedetails/7160-Fairwind-Acres-Pl-Las-Vegas-NV-89131/61741577_zpid/
763448,"5315 E Dodge St, Mesa, AZ 85205 ",91398.9609375,172900,-81501.0390625,-0.47137674414401387,80.18425750732422,https://www.zillow.com/homedetails/5315-E-Dodge-St-Mesa-AZ-85205/7662626_zpid/
393646,"7034 N 28th Dr, Phoenix, AZ 85051 ",115994.0859375,198500,-82505.9140625,-0.4156469222292192,28.850788116455078,https://www.zillow.com/homedetails/7034-N-28th-Dr-Phoenix-AZ-85051/7757324_zpid/
7380689,"12731 Sandri Ln, Houston, TX 77077 ",192056.40625,275000,-82943.59375,-0.3016130681818182,28.502588272094727,https://www.zillow.com/homedetails/12731-Sandri-Ln-Houston-TX-77077/28329205_zpid/
2481892,"6131 Briar Glade Dr, Houston, TX 77072 ",84944.3515625,168000,-83055.6484375,-0.4943788597470238,56.84440994262695,https://www.zillow.com/homedetails/6131-Briar-Glade-Dr-Houston-TX-77072/28309136_zpid/
235438,"2833 W Wagoner Rd, Phoenix, AZ 85053 ",113839.4609375,197000,-83160.5390625,-0.42213471605329944,71.60472106933594,https://www.zillow.com/homedetails/2833-W-Wagoner-Rd-Phoenix-AZ-85053/7941077_zpid/
7463044,"8813 W Indianola Ave, Phoenix, AZ 85037 ",71143.984375,155500,-84356.015625,-0.5424824155948553,208.60679626464844,https://www.zillow.com/homedetails/8813-W-Indianola-Ave-Phoenix-AZ-85037/2094842382_zpid/
7432925,"10898 W Alvarado Rd, Avondale, AZ 85392 ",86768.125,172000,-85231.875,-0.4955341569767442,71.55379486083984,https://www.zillow.com/homedetails/10898-W-Alvarado-Rd-Avondale-AZ-85392/7472877_zpid/
396919,"4002 W Wethersfield Rd, Phoenix, AZ 85029 ",194386.125,279850,-85463.875,-0.3053917277112739,72.79505920410156,https://www.zillow.com/homedetails/4002-W-Wethersfield-Rd-Phoenix-AZ-85029/7742694_zpid/
7451563,"3044 W Corrine Dr, Phoenix, AZ 85029 ",114150.0625,199900,-85749.9375,-0.42896416958479244,78.44308471679688,https://www.zillow.com/homedetails/3044-W-Corrine-Dr-Phoenix-AZ-85029/92347270_zpid/
