"Url","Sqft"
"http://www.climbsf.com/for-rent/1201-pine-st-124/"," 975"
"http://www.climbsf.com/for-rent/1201-pine-st-360/"," 753"
"http://www.climbsf.com/for-rent/1500-park-ave-111/"," 1,100"
"http://www.climbsf.com/for-rent/630-thomas-l-berkley-way-623/"," 860"
"http://www.climbsf.com/for-rent/1411-creekside-dr-16/"," 624"
"http://www.climbsf.com/for-rent/311-oak-st-306/"," 1,700"
"http://www.climbsf.com/for-rent/1804-62nd-st-1/"," 700"
"http://www.climbsf.com/for-rent/1804-62nd-st-3/"," 600"
"http://www.climbsf.com/for-rent/1804-62nd-st-4/"," 700"
"http://www.climbsf.com/for-rent/1804-62nd-st-6/"," 600"
"http://www.climbsf.com/for-rent/1026-aileen-st/"," 1,450"
"http://www.climbsf.com/for-rent/630-thomas-l-berkley-way-301/"," 803 "
"http://www.climbsf.com/for-rent/6501-san-pablo-ave-205/"," 910"
"http://www.climbsf.com/for-rent/4234-halleck-st/","NA"
"http://www.climbsf.com/for-rent/372-hudson-st/"," 1,254"
"http://www.climbsf.com/for-rent/1511-jefferson-st-203/"," 1,200"
"http://www.climbsf.com/for-rent/6400-christie-ave-3406/"," 565"
"http://www.climbsf.com/for-rent/1463-34th-st/"," 760"
"http://www.climbsf.com/for-rent/1511-jefferson-st-ph8/","NA"
"http://www.climbsf.com/for-rent/1201-pine-street-132/"," 1,072"
"http://www.climbsf.com/for-rent/1523-brunswig-lane/"," 745"
"http://www.climbsf.com/for-rent/1201-pine-st-257/"," 815"
"http://www.climbsf.com/for-rent/1500-park-ave-105/"," 1,300"
"http://www.climbsf.com/for-rent/salada-avenue-pacifica/"," 993"
