property_id,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source,pred_std
24408,"3608 W Cochise Dr, Phoenix, AZ 85051",4,2,1911,zillow_ph,http://www.zillow.com/homedetails/3608-W-Cochise-Dr-Phoenix-AZ-85051/7745227_zpid/,-112.137,33.5808,376.734,1969,1,1,,,111718,rental,1450,closed,77,2013-07-24,2013-05-08,North Mountain,176,PH,313.21478353253000000000
24408,"3608 W Cochise Dr, Phoenix, AZ 85051",4,2,1911,zillow_ph,http://www.zillow.com/homedetails/3608-W-Cochise-Dr-Phoenix-AZ-85051/7745227_zpid/,-112.137,33.5808,376.734,1969,1,1,,,111719,rental,1350,closed,13,2013-07-24,2013-07-11,North Mountain,176,PH,313.21478353253000000000
24408,"3608 W Cochise Dr, Phoenix, AZ 85051",4,2,1911,zillow_ph,http://www.zillow.com/homedetails/3608-W-Cochise-Dr-Phoenix-AZ-85051/7745227_zpid/,-112.137,33.5808,376.734,1969,1,1,,,111720,rental,1350,closed,7,2016-02-19,2016-02-12,North Mountain,176,PH,313.21478353253000000000
24604,"1212 W Brown St, Phoenix, AZ 85021",3,1,748,zillow_ph,http://www.zillow.com/homedetails/1212-W-Brown-St-Phoenix-AZ-85021/7781750_zpid/,-112.089,33.5779,386.968,1956,0,1,,,112663,rental,695,closed,16,2012-12-08,2012-11-22,North Mountain,176,PH,312.50117708115500000000
24608,"4238 W El Camino Dr, Phoenix, AZ 85051",4,1,1833,zillow_ph,http://www.zillow.com/homedetails/4238-W-El-Camino-Dr-Phoenix-AZ-85051/7752817_zpid/,-112.151,33.5573,364.767,1966,0,1,,,112680,rental,1125,closed,95,2012-05-14,2012-02-09,North Mountain,176,PH,313.26999315802300000000
24608,"4238 W El Camino Dr, Phoenix, AZ 85051",4,1,1833,zillow_ph,http://www.zillow.com/homedetails/4238-W-El-Camino-Dr-Phoenix-AZ-85051/7752817_zpid/,-112.151,33.5573,364.767,1966,0,1,,,112681,rental,1075,closed,30,2012-05-14,2012-04-14,North Mountain,176,PH,313.26999315802300000000
24608,"4238 W El Camino Dr, Phoenix, AZ 85051",4,1,1833,zillow_ph,http://www.zillow.com/homedetails/4238-W-El-Camino-Dr-Phoenix-AZ-85051/7752817_zpid/,-112.151,33.5573,364.767,1966,0,1,,,112686,rental,1265,closed,16,2016-02-29,2016-02-13,North Mountain,176,PH,313.26999315802300000000
24720,"3131 W Cochise Dr UNIT 217, Phoenix, AZ 85051",1,1,760,zillow_ph,http://www.zillow.com/homedetails/3131-W-Cochise-Dr-UNIT-217-Phoenix-AZ-85051/7739505_zpid/,-112.128,33.5804,379.146,1983,0,1,,,114422,rental,750,closed,82,2015-06-22,2015-04-01,North Mountain,176,PH,311.43960777016100000000
24721,"4649 W Sierra St, Glendale, AZ 85304",3,2,1598,zillow_ph,http://www.zillow.com/homedetails/4649-W-Sierra-St-Glendale-AZ-85304/7726955_zpid/,-112.16,33.5904,372.444,1972,0,1,,,114430,rental,1050,closed,,2014-12-23,,North Mountain,176,PH,312.35992211111800000000
24721,"4649 W Sierra St, Glendale, AZ 85304",3,2,1598,zillow_ph,http://www.zillow.com/homedetails/4649-W-Sierra-St-Glendale-AZ-85304/7726955_zpid/,-112.16,33.5904,372.444,1972,0,1,,,114429,rental,1050,closed,0,2014-12-10,2014-12-10,North Mountain,176,PH,312.35992211111800000000
24722,"9618 N 10th Ave, Phoenix, AZ 85021",3,2,1145,zillow_ph,http://www.zillow.com/homedetails/9618-N-10th-Ave-Phoenix-AZ-85021/2113547855_zpid/,-112.086,33.5738,382.311,1956,0,1,,,114437,rental,795,closed,33,2013-08-20,2013-07-18,North Mountain,176,PH,312.70497726495200000000
24722,"9618 N 10th Ave, Phoenix, AZ 85021",3,2,1145,zillow_ph,http://www.zillow.com/homedetails/9618-N-10th-Ave-Phoenix-AZ-85021/2113547855_zpid/,-112.086,33.5738,382.311,1956,0,1,,,114438,rental,775,closed,25,2013-08-20,2013-07-26,North Mountain,176,PH,312.70497726495200000000
24872,"11826 N 35th Ave, Phoenix, AZ 85029",2,2,1090,zillow_ph,http://www.zillow.com/homedetails/11826-N-35th-Ave-Phoenix-AZ-85029/7743781_zpid/,-112.134,33.5937,382.021,1969,0,1,,,114419,rental,875,closed,17,2016-03-04,2016-02-16,North Mountain,176,PH,312.03632234797200000000
25079,"14241 N 14th St, Phoenix, AZ 85022",4,2,3079,zillow_ph,http://www.zillow.com/homedetails/14241-N-14th-St-Phoenix-AZ-85022/8009326_zpid/,-112.052,33.6162,443.515,1994,0,1,,,115660,rental,2000,closed,906,2016-02-28,2013-09-05,North Mountain,176,PH,313.43452001444400000000
25081,"2343 W Lupine Ave, Phoenix, AZ 85029",3,2,1600,zillow_ph,http://www.zillow.com/homedetails/2343-W-Lupine-Ave-Phoenix-AZ-85029/7749299_zpid/,-112.11,33.5898,386.089,1964,0,1,,,115665,rental,1095,closed,4,2016-02-20,2016-02-16,North Mountain,176,PH,312.48324990373100000000
25082,"2536 W Acoma Dr, Phoenix, AZ 85023",3,2,1880,zillow_ph,http://www.zillow.com/homedetails/2536-W-Acoma-Dr-Phoenix-AZ-85023/7961540_zpid/,-112.115,33.6183,398.688,1975,0,1,,,115669,rental,1200,closed,696,2012-09-22,2010-10-27,North Mountain,176,PH,312.32123701949100000000
25082,"2536 W Acoma Dr, Phoenix, AZ 85023",3,2,1880,zillow_ph,http://www.zillow.com/homedetails/2536-W-Acoma-Dr-Phoenix-AZ-85023/7961540_zpid/,-112.115,33.6183,398.688,1975,0,1,,,115670,rental,1500,closed,343,2011-10-22,2010-11-13,North Mountain,176,PH,312.32123701949100000000
25082,"2536 W Acoma Dr, Phoenix, AZ 85023",3,2,1880,zillow_ph,http://www.zillow.com/homedetails/2536-W-Acoma-Dr-Phoenix-AZ-85023/7961540_zpid/,-112.115,33.6183,398.688,1975,0,1,,,115671,rental,1250,closed,203,2011-10-22,2011-04-02,North Mountain,176,PH,312.32123701949100000000
25082,"2536 W Acoma Dr, Phoenix, AZ 85023",3,2,1880,zillow_ph,http://www.zillow.com/homedetails/2536-W-Acoma-Dr-Phoenix-AZ-85023/7961540_zpid/,-112.115,33.6183,398.688,1975,0,1,,,115672,rental,1400,closed,9,2012-09-22,2012-09-13,North Mountain,176,PH,312.32123701949100000000
25082,"2536 W Acoma Dr, Phoenix, AZ 85023",3,2,1880,zillow_ph,http://www.zillow.com/homedetails/2536-W-Acoma-Dr-Phoenix-AZ-85023/7961540_zpid/,-112.115,33.6183,398.688,1975,0,1,,,115673,rental,1275,closed,30,2013-05-30,2013-04-30,North Mountain,176,PH,312.32123701949100000000
25082,"2536 W Acoma Dr, Phoenix, AZ 85023",3,2,1880,zillow_ph,http://www.zillow.com/homedetails/2536-W-Acoma-Dr-Phoenix-AZ-85023/7961540_zpid/,-112.115,33.6183,398.688,1975,0,1,,,115668,rental,1350,closed,976,2013-05-30,2010-09-27,North Mountain,176,PH,312.32123701949100000000
25085,"3614 W Cochise Dr, Phoenix, AZ 85051",4,3,2423,zillow_ph,http://www.zillow.com/homedetails/3614-W-Cochise-Dr-Phoenix-AZ-85051/7745226_zpid/,-112.137,33.5809,376.847,1968,0,1,,,115689,rental,1309,closed,45,2014-04-07,2014-02-21,North Mountain,176,PH,314.16598810257300000000
25085,"3614 W Cochise Dr, Phoenix, AZ 85051",4,3,2423,zillow_ph,http://www.zillow.com/homedetails/3614-W-Cochise-Dr-Phoenix-AZ-85051/7745226_zpid/,-112.137,33.5809,376.847,1968,0,1,,,131391,rental,1400,closed,11,2016-03-12,2016-03-01,North Mountain,176,PH,314.16598810257300000000
25086,"3812 W Butler Dr, Phoenix, AZ 85051",3,2,1093,zillow_ph,http://www.zillow.com/homedetails/3812-W-Butler-Dr-Phoenix-AZ-85051/7752331_zpid/,-112.141,33.5605,368.337,1962,1,1,,,115697,rental,799,closed,17,2011-10-31,2011-10-14,North Mountain,176,PH,312.55619121389900000000
25086,"3812 W Butler Dr, Phoenix, AZ 85051",3,2,1093,zillow_ph,http://www.zillow.com/homedetails/3812-W-Butler-Dr-Phoenix-AZ-85051/7752331_zpid/,-112.141,33.5605,368.337,1962,1,1,,,115698,rental,750,closed,5,2011-10-31,2011-10-26,North Mountain,176,PH,312.55619121389900000000
25086,"3812 W Butler Dr, Phoenix, AZ 85051",3,2,1093,zillow_ph,http://www.zillow.com/homedetails/3812-W-Butler-Dr-Phoenix-AZ-85051/7752331_zpid/,-112.141,33.5605,368.337,1962,1,1,,,115700,rental,919,closed,89,2014-04-07,2014-01-08,North Mountain,176,PH,312.55619121389900000000
25086,"3812 W Butler Dr, Phoenix, AZ 85051",3,2,1093,zillow_ph,http://www.zillow.com/homedetails/3812-W-Butler-Dr-Phoenix-AZ-85051/7752331_zpid/,-112.141,33.5605,368.337,1962,1,1,,,115701,rental,899,closed,81,2014-04-07,2014-01-16,North Mountain,176,PH,312.55619121389900000000
25086,"3812 W Butler Dr, Phoenix, AZ 85051",3,2,1093,zillow_ph,http://www.zillow.com/homedetails/3812-W-Butler-Dr-Phoenix-AZ-85051/7752331_zpid/,-112.141,33.5605,368.337,1962,1,1,,,124177,rental,1075,closed,2,2016-02-24,2016-02-22,North Mountain,176,PH,312.55619121389900000000
