address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"15801 N 29th St, Phoenix, AZ 85032",2,2,1121,zillow_ph,http://www.zillow.com/homedetails/15801-N-29th-St-Phoenix-AZ-85032/2111784420_zpid/,-112.018,33.6301,438.504,,,1,rental,850,open,,,2015-08-18,Paradise Valley,288,PH
"7724 N 14th St, Phoenix, AZ 85020",3,2,1803,zillow_ph,http://www.zillow.com/homedetails/7724-N-14th-St-Phoenix-AZ-85020/95150871_zpid/,-112.052,33.55,386.797,,,1,rental,2500,open,,,2015-08-21,Camelback East,133,PH
"2035 N 64th Ln, Phoenix, AZ 85035",3,2,1280,zillow_ph,http://www.zillow.com/homedetails/2035-N-64th-Ln-Phoenix-AZ-85035/7490712_zpid/,-112.198,33.4708,325.186,,,1,rental,875,open,,,2015-08-17,Maryvale,208,PH
"15230 S 42nd St, Phoenix, AZ 85044",3,2,1779,zillow_ph,http://www.zillow.com/homedetails/15230-S-42nd-St-Phoenix-AZ-85044/92353755_zpid/,-111.992,33.308,374.76,,,1,rental,1395,open,,,2015-07-22,Ahwatukee Foothills 0,274,PH
"10811 N Calle Del Sol, Phoenix, AZ 85037",3,2,1240,zillow_ph,http://www.zillow.com/homedetails/10811-N-Calle-Del-Sol-Phoenix-AZ-85037/2105146507_zpid/,-112.293,33.4955,311.707,,,1,rental,900,open,,,2015-09-15,Maryvale,208,PH
"17 W Vernon Ave, Phoenix, AZ 85003",2,2,1386,zillow_ph,http://www.zillow.com/homedetails/17-W-Vernon-Ave-Phoenix-AZ-85003/2105356946_zpid/,-112.075,33.4737,333.48,,,1,rental,1545,open,,,2015-08-27,Encanto,314,PH
"E Berridge Ln Phoenix, AZ 85014",3,2,1542,zillow_ph,http://www.zillow.com/homedetails/E-Berridge-Ln-Phoenix-AZ-85014/2101440773_zpid/,-112.061,33.5252,357.152,,,1,rental,1300,open,,,2015-08-11,Camelback East,133,PH
"E Ahwatukee Dr Phoenix, AZ 85044",2,2,1715,zillow_ph,http://www.zillow.com/homedetails/E-Ahwatukee-Dr-Phoenix-AZ-85044/2101430795_zpid/,-111.991,33.3358,394.299,,,1,rental,1300,open,,,2015-08-12,Ahwatukee Foothills 0,274,PH
"2421 W Monte Cristo Cir, Phoenix, AZ 85023",3,2,1440,zillow_ph,http://www.zillow.com/homedetails/2421-W-Monte-Cristo-Cir-Phoenix-AZ-85023/2101427361_zpid/,-112.112,33.6306,404.484,,,1,rental,1250,open,,,2015-08-12,Deer Valley,307,PH
"3311 N 18th St, Phoenix, AZ 85016",2,1,900,zillow_ph,http://www.zillow.com/homedetails/3311-N-18th-St-Phoenix-AZ-85016/2104565441_zpid/,-112.043,33.4864,344.033,,,1,rental,925,closed,56,2015-10-10,2015-08-15,Encanto,314,PH
"S 2nd St Phoenix, AZ 85004",0,1,1000,zillow_ph,http://www.zillow.com/homedetails/S-2nd-St-Phoenix-AZ-85004/2101386042_zpid/,-112.071,33.4391,329.562,,,1,rental,1499,open,,,2015-08-16,Central City,285,PH
"W Alice Ave Phoenix, AZ 85021",3,2,1354,zillow_ph,http://www.zillow.com/homedetails/W-Alice-Ave-Phoenix-AZ-85021/2101379277_zpid/,-112.078,33.5644,376.223,,,1,rental,1400,open,,,2015-08-17,North Mountain,176,PH
"3551 E Campo Bello Dr, Phoenix, AZ 85032",3,2,1297,zillow_ph,http://www.zillow.com/homedetails/3551-E-Campo-Bello-Dr-Phoenix-AZ-85032/7998212_zpid/,-112.004,33.6436,448.471,,,1,rental,985,open,,,2015-08-18,Paradise Valley,288,PH
"W Blackhawk Dr Phoenix, AZ 85027",3,2,1263,zillow_ph,http://www.zillow.com/homedetails/W-Blackhawk-Dr-Phoenix-AZ-85027/2101366011_zpid/,-112.087,33.6706,433.162,,,1,rental,1250,open,,,2015-08-18,Deer Valley,307,PH
"4416 E Amberwood Dr, Phoenix, AZ 85048",3,2,1300,zillow_ph,http://www.zillow.com/homedetails/4416-E-Amberwood-Dr-Phoenix-AZ-85048/8158645_zpid/,-111.988,33.2999,363.892,,,1,rental,1325,open,,,2015-08-18,Ahwatukee Foothills 0,274,PH
"E Indianola Ave Phoenix, AZ 85016",2,1,1100,zillow_ph,http://www.zillow.com/homedetails/E-Indianola-Ave-Phoenix-AZ-85016/2135805483_zpid/,-112.035,33.4921,349.677,,,1,rental,1450,open,,,2015-08-19,Camelback East,133,PH
"512 N 53rd St, Phoenix, AZ 85008",2,2,850,zillow_ph,http://www.zillow.com/homedetails/512-N-53rd-St-Phoenix-AZ-85008/2116156042_zpid/,-111.968,33.454,368.957,,,1,rental,850,open,,,2015-08-21,Camelback East,133,PH
"W Roma Ave Phoenix, AZ 85013",3,2,1500,zillow_ph,http://www.zillow.com/homedetails/W-Roma-Ave-Phoenix-AZ-85013/2101397588_zpid/,-112.082,33.501,342.176,,,1,rental,1395,open,,,2015-08-21,Encanto,314,PH
"2219 N 92nd Dl, Phoenix, AZ 85037",3,2,1430,zillow_ph,http://www.zillow.com/homedetails/2219-N-92nd-Dl-Phoenix-AZ-85037/2130009698_zpid/,-112.26,33.4743,313.12,,,1,rental,975,open,,,2015-08-21,Maryvale,208,PH
"3716 W Mescal St, Phoenix, AZ 85029",3,2,1821,zillow_ph,http://www.zillow.com/homedetails/3716-W-Mescal-St-Phoenix-AZ-85029/7743646_zpid/,-112.139,33.5862,378.431,,,1,rental,1100,open,,,2015-08-21,North Mountain,176,PH
"7234 S 40th Ave, Phoenix, AZ 85041",3,2,2061,zillow_ph,http://www.zillow.com/homedetails/7234-S-40th-Ave-Phoenix-AZ-85041/2114092127_zpid/,-112.145,33.3805,317.944,,,1,rental,1175,open,,,2015-08-22,Laveen,158,PH
"1323 W Morrow Dr, Phoenix, AZ 85027",3,1,1417,zillow_ph,http://www.zillow.com/homedetails/1323-W-Morrow-Dr-Phoenix-AZ-85027/7969023_zpid/,-112.088,33.6569,424.663,,,1,rental,1045,open,,,2015-08-22,Deer Valley,307,PH
"7125 W Heatherbrae Dr, Phoenix, AZ 85033",3,2,1092,zillow_ph,http://www.zillow.com/homedetails/7125-W-Heatherbrae-Dr-Phoenix-AZ-85033/7711527_zpid/,-112.213,33.4981,331.602,,,1,rental,875,open,,,2015-08-27,Maryvale,208,PH
