"Address","Neighborhood","Bedrooms","Bathrooms","Price","Rented","Date","Source"
"403 Main Street #515","South Beach",2,2.0,4150,True,1391414400.0,"Climb SF"
"374 27th Avenue","Central Richmond",2,1.5,3900,True,1390982400.0,"Climb SF"
"1160 Mission Street #901","SOMA",2,2.0,4450,True,1390896000.0,"Climb SF"
"501 Beale Street #4D","South Beach",1,1.0,3800,True,1390896000.0,"Climb SF"
"333 Main Street #4C","South Beach",1,1.0,3300,True,1390896000.0,"Climb SF"
"425 1st Street #3305","Rincon Hill",1,1.0,3300,True,1390377600.0,"Climb SF"
"650 Turk Street #501","Van Ness-Civic Center",1,1.0,2950,True,1390204800.0,"Climb SF"
"301 Main Street #35F","South Beach",2,2.0,6500,True,1389686400.0,"Climb SF"
"970 Duncan Street #304F","Diamond Heights",2,2.0,3300,True,1389600000.0,"Climb SF"
"373 Green Street","North Beach",1,1.0,3200,True,1389340800.0,"Climb SF"
"250 King Street #536","Mission Bay",1,1.0,2975,True,1389081600.0,"Climb SF"
"66 Cleary Court #306","Western Addition",3,2.0,4400,True,1388476800.0,"Climb SF"
"74 New Montgomery Street #515","SOMA",1,1.0,3700,True,1388044800.0,"Climb SF"
"49 Zoe Street #4","South Beach",1,1.5,3500,True,1388044800.0,"Climb SF"
"657 26th Avenue","Central Richmond",2,1.5,3700,True,1388044800.0,"Climb SF"
"425 1st Street #4501","Rincon Hill",1,1.0,4000,True,1387353600.0,"Climb SF"
"2125 Bryant Street #102","Inner Mission",2,2.5,5300,True,1387267200.0,"Climb SF"
"425 1st Street #3704","Rincon Hill",1,1.0,3300,True,1387180800.0,"Climb SF"
"325 Berry Street #506","Mission Bay",1,1.0,3300,True,1387180800.0,"Climb SF"
"425 1st Street #3503","Rincon Hill",2,2.0,5500,True,1386835200.0,"Climb SF"
"301 Mission Street #701","SOMA",2,2.0,7400,True,1386748800.0,"Climb SF"
"501 Beale Street #8D","South Beach",2,2.0,5600,True,1385452800.0,"Climb SF"
"318 Spear Street #5C","South Beach",1,1.0,3700,True,1385366400.0,"Climb SF"
"18 Lansing Street #201","Rincon Hill",2,2.0,3700,True,1385366400.0,"Climb SF"
"555 4th Street #417","South Beach",2,2.0,4000,True,1384848000.0,"Climb SF"
"1921 Jefferson Street #302","Marina",1,1.0,2600,True,1383030000.0,"Climb SF"
"723 Ellsworth Street","Bernal Heights",3,2.0,3450,True,1382425200.0,"Climb SF"
"900 Bush Street #410","Nob Hill",0,1.0,2100,True,1382425200.0,"Climb SF"
"821 Folsom Street #310","Yerba Buena",1,1.0,3000,True,1382425200.0,"Climb SF"
"338 Spear Street #18C","Rincon Hill",1,1.0,3900,True,1381820400.0,"Climb SF"
"219 Brannan Street #7E","South Beach",2,2.0,5200,True,1381820400.0,"Climb SF"
"301 Main Street #6B","South Beach",2,2.5,6600,True,1380610800.0,"Climb SF"
"325 Berry Street #614","South Beach",1,1.0,3350,True,1380265200.0,"Climb SF"
"403 Main Street #416","South Beach",1,1.0,3500,True,1380178800.0,"Climb SF"
"1160 Mission Street #1611","SOMA",1,1.0,3150,True,1379487600.0,"Climb SF"
"325 Berry Street #701 ","Mission Bay",2,2.0,6500,True,1379487600.0,"Climb SF"
"997 14th Street","Duboce Triangle",1,1.0,2700,True,1379314800.0,"Climb SF"
"555 Bartlett Street #413","Inner Mission",2,2.0,4050,True,1378796400.0,"Climb SF"
"229 Brannan Street #12J","South Beach",2,2.0,5950,True,1377759600.0,"Climb SF"
"333 Main Street #7B","South Beach",2,2.0,4475,True,1377241200.0,"Climb SF"
"2030 Third Street #6","Central Waterfront",1,2.0,3500,True,1376636400.0,"Climb SF"
"868 Minnesota Street #313","Central Waterfront",1,1.5,3400,True,1376636400.0,"Climb SF"
"451 Kansas Street #489","Potrero Hill",0,1.0,2600,True,1376031600.0,"Climb SF"
"3156 Turk Street #A","Lone Mountain",4,2.0,5000,True,1376031600.0,"Climb SF"
"333 Main Street #9D","South Beach",4,2.0,5500,True,1375340400.0,"Climb SF"
"338 Spear Street #39A","South Beach",2,2.0,6700,True,1375340400.0,"Climb SF"
"755 Tennessee Street #2","Dogpatch",2,2.0,4450,True,1375167600.0,"Climb SF"
"1288 McAllister Street #201","Alamo Square",2,1.0,4000,True,1375167600.0,"Climb SF"
"38 Beideman Street","Western Addition",2,1.5,3500,True,1375167600.0,"Climb SF"
"325 Berry Street #317","Mission Bay",1,1.0,3650,True,1374476400.0,"Climb SF"
"One Hawthorne Street #2J","SOMA",0,1.0,3300,True,1374476400.0,"Climb SF"
"2075 Sutter Street #521","Lower Pacific Heights",2,2.0,4100,True,1373958000.0,"Climb SF"
"480 Mission Bay Boulevard North #1608","Mission Bay",2,2.0,5475,True,1373871600.0,"Climb SF"
"3009 Sacramento Street #2","Pacific Heights",4,2.0,5500,True,1373353200.0,"Climb SF"
"88 King Street #904","South Beach",2,2.0,6250,True,1373353200.0,"Climb SF"
"199 New Montgomery Street #208","SOMA",1,1.0,3300,True,1373007600.0,"Climb SF"
"140 South Van Ness Avenue #922","SOMA",2,2.0,3800,True,1372834800.0,"Climb SF"
"1160 Mission Street #1905","SOMA",1,1.0,3250,True,1372143600.0,"Climb SF"
"333 Main Street #4L","South Beach",1,1.0,3500,True,1370415600.0,"Climb SF"
