"Address","Neighborhood","Bedrooms","Bathrooms","Price","Rented","Date","Source"
"325 Berry Street #701 ","Mission Bay",2,2.0,6500,True,"09/18/2013","Climb SF"
"997 14th Street","Duboce Triangle",1,1.0,2700,True,"09/16/2013","Climb SF"
"555 Bartlett Street #413","Inner Mission",2,2.0,4050,True,"09/10/2013","Climb SF"
"229 Brannan Street #12J","South Beach",2,2.0,5950,True,"08/29/2013","Climb SF"
"333 Main Street #7B","South Beach",2,2.0,4475,True,"08/23/2013","Climb SF"
"2030 Third Street #6","Central Waterfront",1,2.0,3500,True,"08/16/2013","Climb SF"
"868 Minnesota Street #313","Central Waterfront",1,1.5,3400,True,"08/16/2013","Climb SF"
"451 Kansas Street #489","Potrero Hill",0,1.0,2600,True,"08/09/2013","Climb SF"
"3156 Turk Street #A","Lone Mountain",4,2.0,5000,True,"08/09/2013","Climb SF"
"333 Main Street #9D","South Beach",4,2.0,5500,True,"08/01/2013","Climb SF"
"338 Spear Street #39A","South Beach",2,2.0,6700,True,"08/01/2013","Climb SF"
"755 Tennessee Street #2","Dogpatch",2,2.0,4450,True,"07/30/2013","Climb SF"
"1288 McAllister Street #201","Alamo Square",2,1.0,4000,True,"07/30/2013","Climb SF"
"38 Beideman Street","Western Addition",2,1.5,3500,True,"07/30/2013","Climb SF"
"325 Berry Street #317","Mission Bay",1,1.0,3650,True,"07/22/2013","Climb SF"
"One Hawthorne Street #2J","SOMA",0,1.0,3300,True,"07/22/2013","Climb SF"
"2075 Sutter Street #521","Lower Pacific Heights",2,2.0,4100,True,"07/16/2013","Climb SF"
"480 Mission Bay Boulevard North #1608","Mission Bay",2,2.0,5475,True,"07/15/2013","Climb SF"
"3009 Sacramento Street #2","Pacific Heights",4,2.0,5500,True,"07/09/2013","Climb SF"
"88 King Street #904","South Beach",2,2.0,6250,True,"07/09/2013","Climb SF"
"199 New Montgomery Street #208","SOMA",1,1.0,3300,True,"07/05/2013","Climb SF"
"140 South Van Ness Avenue #922","SOMA",2,2.0,3800,True,"07/03/2013","Climb SF"
"1160 Mission Street #1905","SOMA",1,1.0,3250,True,"06/25/2013","Climb SF"
"333 Main Street #4L","South Beach",1,1.0,3500,True,"06/05/2013","Climb SF"
"400 Beale Street #506","South Beach",2,1.0,3700,True,"06/05/2013","Climb SF"
"300 Third Street #1114","SOMA",2,2.0,4100,True,"06/05/2013","Climb SF"
"4517 18th Street","Eureka Valley",3,3.0,5800,True,"06/04/2013","Climb SF"
"1097 Howard Street #304","SOMA",1,1.5,3700,True,"06/04/2013","Climb SF"
"333 Main Street #7E","South Beach",2,2.0,4900,True,"05/31/2013","Climb SF"
"355 Buena Vista Avenue East #305W","Buena Vista",1,1.0,2700,True,"05/21/2013","Climb SF"
"50 Lansing Street #209","South Beach",1,1.5,2975,True,"05/16/2013","Climb SF"
"333 Main Street #4D","South Beach",1,1.0,3500,True,"04/24/2013","Climb SF"
"403 Main Street #410","South Beach",1,1.0,3500,True,"04/12/2013","Climb SF"
"5 Sparta Street","Visitacion Valley",3,2.5,3450,True,"04/10/2013","Climb SF"
