,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,price,date_closed,date_listed,neighborhood,error,predicted_price
849,"Taylor St San Francisco, CA 94108",1,1,800,zillow_sf,http://www.zillow.com/homedetails/Taylor-St-San-Francisco-CA-94108/2103320761_zpid/,-122.413,6000,,2015-07-22,Nob Hill,-1963.77741268,4036.22258732
463,"1840 Broadway, San Francisco, CA 94109",2,2,1300,zillow_sf,http://www.zillow.com/homedetails/1840-Broadway-San-Francisco-CA-94109/2105116842_zpid/,-122.428,7580,,2015-08-10,Pacific Heights,-1965.32629285,5614.67370715
704,"501 Beale St, San Francisco, CA 94105",2,2,1160,zillow_sf,http://www.zillow.com/homedetails/501-Beale-St-San-Francisco-CA-94105/2105529391_zpid/,-122.389,7000,,2015-08-21,South Beach,-1991.38812192,5008.61187808
534,"748 Bay St, San Francisco, CA 94109",2,2,1105,zillow_sf,http://www.zillow.com/homedetails/748-Bay-St-San-Francisco-CA-94109/2101980661_zpid/,-122.419,7500,,2015-06-13,Russian Hill,-1997.18407557,5502.81592443
726,318 Main Street #3D,2,2,1100,climbsf_renting,http://www.climbsf.com/for-rent/318-main-st-3d/,-122.392,6895,,2015-09-27,South Beach,-2023.07150588,4871.92849412
255,"20th St San Francisco, CA 94110",1,1,900,zillow_sf,http://www.zillow.com/homedetails/20th-St-San-Francisco-CA-94110/2104705655_zpid/,-122.416,6200,,2015-08-05,Inner Mission,-2081.91985642,4118.08014358
788,"527 Greenwich St, San Francisco, CA 94133",1,1,900,zillow_sf,http://www.zillow.com/homedetails/527-Greenwich-St-San-Francisco-CA-94133/2101064255_zpid/,-122.408,6500,,2015-09-23,Telegraph Hill,-2095.30046429,4404.69953571
628,338 Spear Street #39E,3,2,1582,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-39e/,-122.391,7975,2014-09-30,,South Beach,-2124.19994631,5850.80005369
348,480 Mission Bay Boulevard North #PH1606,2,2,1576,climbsf_renting,http://www.climbsf.com/for-rent/480-mission-bay-blvd-n-ph1606/,-122.393,7500,2015-09-02,2015-08-23,Mission Bay,-2149.43789195,5350.56210805
537,"Grenard Ter San Francisco, CA 94109",2,2,1000,zillow_sf,http://www.zillow.com/homedetails/Grenard-Ter-San-Francisco-CA-94109/2103580240_zpid/,-122.423,7500,,2015-07-22,Russian Hill,-2295.24624237,5204.75375763
519,"319 Arkansas St, San Francisco, CA 94107",1,1,990,zillow_sf,http://www.zillow.com/homedetails/319-Arkansas-St-San-Francisco-CA-94107/15149468_zpid/,-122.398,6250,,2014-05-11,Potrero Hill,-2311.48024985,3938.51975015
760,"1160 Mission St UNIT 1707, San Francisco, CA 94103",2,2,1031,zillow_sf,http://www.zillow.com/homedetails/1160-Mission-St-UNIT-1707-San-Francisco-CA-94103/83154486_zpid/,-122.412,7000,,2015-01-12,South of Market,-2395.65745729,4604.34254271
308,"2434 Pine St, San Francisco, CA 94115",3,2,1300,zillow_sf,http://www.zillow.com/homedetails/2434-Pine-St-San-Francisco-CA-94115/15075220_zpid/,-122.437,8000,,2015-07-08,Lower Pacific Heights,-2474.56757443,5525.43242557
409,"Greenwich St San Francisco, CA 94133",1,1,900,zillow_sf,http://www.zillow.com/homedetails/Greenwich-St-San-Francisco-CA-94133/2101096173_zpid/,-122.41,7000,,2015-09-19,North Beach,-2639.24278632,4360.75721368
709,"301 Main St UNIT 35A, San Francisco, CA 94105",2,2,1268,zillow_sf,http://www.zillow.com/homedetails/301-Main-St-UNIT-35A-San-Francisco-CA-94105/2101426598_zpid/,-122.391,7950,,2015-08-12,South Beach,-2695.35803079,5254.64196921
108,"4308 21st St, San Francisco, CA 94114",2,1,1150,zillow_sf,http://www.zillow.com/homedetails/4308-21st-St-San-Francisco-CA-94114/15130487_zpid/,-122.439,8000,,2015-09-23,Eureka Valley / Dolores Heights,-3190.26971967,4809.73028033
