address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"142 Gates St, San Francisco, CA 94110",2,2,1500,zillow_sf,http://www.zillow.com/homedetails/142-Gates-St-San-Francisco-CA-94110/15161945_zpid/,-122.414,37.741,87.487,1906,0,1,,0.0013,39703,rental,6000,closed,22,2015-08-31,2015-08-09,Bernal Heights,5,SF
"142 Gates St, San Francisco, CA 94110",2,2,1500,zillow_sf,http://www.zillow.com/homedetails/142-Gates-St-San-Francisco-CA-94110/15161945_zpid/,-122.414,37.741,87.487,1906,0,1,,0.0013,39847,rental,6000,closed,13,2015-11-22,2015-11-09,Bernal Heights,5,SF
"142 Gates St, San Francisco, CA 94110",2,2,1500,zillow_sf,http://www.zillow.com/homedetails/142-Gates-St-San-Francisco-CA-94110/15161945_zpid/,-122.414,37.741,87.487,1906,0,1,,0.0013,44665,rental,6000,closed,,2015-08-31,,Bernal Heights,5,SF
"112 Ripley St, San Francisco, CA 94110",1,1,574,zillow_sf,http://www.zillow.com/homedetails/112-Ripley-St-San-Francisco-CA-94110/2101198723_zpid/,-122.413,37.744,71.7004,,,1,,,2665,rental,3100,open,,,2015-09-05,Bernal Heights,5,SF
"3179 Cesar Chavez, San Francisco, CA 94110",3,2,1625,zillow_sf,http://www.zillow.com/homedetails/3179-Cesar-Chavez-San-Francisco-CA-94110/15159678_zpid/,-122.413,37.7479,20.2428,1900,0,1,,,4995,rental,4900,open,,,2015-09-23,Bernal Heights,5,SF
"3179 Cesar Chavez, San Francisco, CA 94110",3,2,1625,zillow_sf,http://www.zillow.com/homedetails/3179-Cesar-Chavez-San-Francisco-CA-94110/15159678_zpid/,-122.413,37.7479,20.2428,1900,0,1,,,19628,rental,4650,open,,,2015-10-12,Bernal Heights,5,SF
"Cortland Ave San Francisco, CA 94110",4,2,0,zillow_sf,http://www.zillow.com/homedetails/Cortland-Ave-San-Francisco-CA-94110/2104086314_zpid/,-122.415,37.7389,69.0465,,0,1,,,5693,rental,7500,open,,,2014-12-12,Bernal Heights,5,SF
"Cortland Ave San Francisco, CA 94110",4,2,0,zillow_sf,http://www.zillow.com/homedetails/Cortland-Ave-San-Francisco-CA-94110/2104086314_zpid/,-122.415,37.7389,69.0465,,0,1,,,5697,rental,6500,open,,,2015-01-06,Bernal Heights,5,SF
"Cortland Ave San Francisco, CA 94110",4,2,0,zillow_sf,http://www.zillow.com/homedetails/Cortland-Ave-San-Francisco-CA-94110/2104086314_zpid/,-122.415,37.7389,69.0465,,0,1,,,5699,rental,6500,closed,,2015-01-12,,Bernal Heights,5,SF
"Cortland Ave San Francisco, CA 94110",4,2,0,zillow_sf,http://www.zillow.com/homedetails/Cortland-Ave-San-Francisco-CA-94110/2104086314_zpid/,-122.415,37.7389,69.0465,,0,1,,,5797,rental,7500,closed,6,2015-10-04,2015-09-28,Bernal Heights,5,SF
"342 Moultrie St, San Francisco, CA 94110",3,1,1200,zillow_sf,http://www.zillow.com/homedetails/342-Moultrie-St-San-Francisco-CA-94110/15162407_zpid/,-122.416,37.7398,80.0792,1849,0,1,,,10115,rental,4500,open,,,2014-10-09,Bernal Heights,5,SF
"342 Moultrie St, San Francisco, CA 94110",3,1,1200,zillow_sf,http://www.zillow.com/homedetails/342-Moultrie-St-San-Francisco-CA-94110/15162407_zpid/,-122.416,37.7398,80.0792,1849,0,1,,,10117,rental,4500,closed,31,2014-11-09,2014-10-09,Bernal Heights,5,SF
"342 Moultrie St, San Francisco, CA 94110",3,1,1200,zillow_sf,http://www.zillow.com/homedetails/342-Moultrie-St-San-Francisco-CA-94110/15162407_zpid/,-122.416,37.7398,80.0792,1849,0,1,,,10138,rental,5000,closed,25,2015-10-28,2015-10-03,Bernal Heights,5,SF
"342 Moultrie St, San Francisco, CA 94110",3,1,1200,zillow_sf,http://www.zillow.com/homedetails/342-Moultrie-St-San-Francisco-CA-94110/15162407_zpid/,-122.416,37.7398,80.0792,1849,0,1,,,21117,rental,4500,closed,,2014-11-09,,Bernal Heights,5,SF
"289 Crescent Ave, San Francisco, CA 94110",2,2,912,zillow_sf,http://www.zillow.com/homedetails/289-Crescent-Ave-San-Francisco-CA-94110/15164262_zpid/,-122.419,37.7352,64.8636,1952,0,1,,,15290,rental,4995,open,,,2015-10-08,Bernal Heights,5,SF
401 Crescent Court #4412,2,2,1073,climbsf_renting,http://www.climbsf.com/for-rent/401-crescent-ct-4412/,-122.417,37.735,51.5067,,,44,,0.00223607,19837,rental,3600,closed,20,2016-01-27,2016-01-07,Bernal Heights,5,SF
