address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"1810 N 51st St APT 5, Phoenix, AZ 85008",2,1,840,zillow_ph,http://www.zillow.com/homedetails/1810-N-51st-St-APT-5-Phoenix-AZ-85008/2116857305_zpid/,-111.972,33.4678,372.722,rental,650,closed,3,2015-10-03,2015-09-30,Camelback East,133,PH
"5134 N 13th Pl APT A, Phoenix, AZ 85014",2,1,800,zillow_ph,http://www.zillow.com/homedetails/5134-N-13th-Pl-APT-A-Phoenix-AZ-85014/2111612357_zpid/,-112.053,33.5119,350.102,rental,800,closed,3,2015-10-03,2015-09-30,Camelback East,133,PH
"4920 E Amelia Ave, Phoenix, AZ 85018",3,1,1100,zillow_ph,http://www.zillow.com/homedetails/4920-E-Amelia-Ave-Phoenix-AZ-85018/7565881_zpid/,-111.975,33.4937,380.767,rental,1475,open,,,2015-09-30,Camelback East,133,PH
"6142 N 29th St, Phoenix, AZ 85016",2,2,1185,zillow_ph,http://www.zillow.com/homedetails/6142-N-29th-St-Phoenix-AZ-85016/7810389_zpid/,-112.025,33.5269,390.758,rental,1800,open,,,2015-10-02,Camelback East,133,PH
"1225 E Medlock Dr UNIT 201, Phoenix, AZ 85014",2,2,1008,zillow_ph,http://www.zillow.com/homedetails/1225-E-Medlock-Dr-UNIT-201-Phoenix-AZ-85014/7800571_zpid/,-112.055,33.5113,349.083,rental,1175,open,,,2015-10-02,Camelback East,133,PH
"3033 E Osborn Rd, Phoenix, AZ 85016",3,2,1626,zillow_ph,http://www.zillow.com/homedetails/3033-E-Osborn-Rd-Phoenix-AZ-85016/7538445_zpid/,-112.016,33.4875,356.41,rental,1350,open,,,2015-10-02,Camelback East,133,PH
"3208 E Flower St APT 207, Phoenix, AZ 85018",1,1,650,zillow_ph,http://www.zillow.com/homedetails/3208-E-Flower-St-APT-207-Phoenix-AZ-85018/2126197397_zpid/,-112.012,33.4865,357.114,rental,565,open,,,2015-10-02,Camelback East,133,PH
"4343 E Wilshire Dr, Phoenix, AZ 85008",3,1,1100,zillow_ph,http://www.zillow.com/homedetails/4343-E-Wilshire-Dr-Phoenix-AZ-85008/7560536_zpid/,-111.987,33.4757,362.86,rental,1090,open,,,2015-10-02,Camelback East,133,PH
"1222 W Baseline Rd UNIT 151, Tempe, AZ 85283",2,2,1200,zillow_ph,http://www.zillow.com/homedetails/1222-W-Baseline-Rd-UNIT-151-Tempe-AZ-85283/7554727_zpid/,-111.957,33.38,365.366,rental,950,open,,,2015-09-29,Baseline-Hardy,136,PH
"621 E Papago Dr, Tempe, AZ 85281",3,2,1427,zillow_ph,http://www.zillow.com/homedetails/621-E-Papago-Dr-Tempe-AZ-85281/7570001_zpid/,-111.93,33.453,371.768,rental,1200,closed,2,2015-09-30,2015-09-28,Ntna-College,141,PH
"620 W Fordham Dr, Tempe, AZ 85283",2,2,1120,zillow_ph,http://www.zillow.com/homedetails/620-W-Fordham-Dr-Tempe-AZ-85283/8137681_zpid/,-111.95,33.3729,365.148,rental,1200,closed,3,2015-10-03,2015-09-30,Pepperwood,142,PH
"510 W Julie Dr, Tempe, AZ 85283",3,2,1603,zillow_ph,http://www.zillow.com/homedetails/510-W-Julie-Dr-Tempe-AZ-85283/71600377_zpid/,-111.947,33.3675,365.862,rental,1495,open,,,2015-10-02,Pepperwood,142,PH
"7714 E Vernon Ave, Scottsdale, AZ 85257",2,2,1400,zillow_ph,http://www.zillow.com/homedetails/7714-E-Vernon-Ave-Scottsdale-AZ-85257/7579647_zpid/,-111.914,33.4744,370.41,rental,1250,open,,,2015-09-26,South Scottsdale,148,PH
"8117 E Via De Viva, Scottsdale, AZ 85258",2,2,1812,zillow_ph,http://www.zillow.com/homedetails/8117-E-Via-De-Viva-Scottsdale-AZ-85258/7855210_zpid/,-111.906,33.5482,395.113,rental,5500,closed,2,2015-09-29,2015-09-27,South Scottsdale,148,PH
"8120 E Valley View Rd, Scottsdale, AZ 85250",3,2,2100,zillow_ph,http://www.zillow.com/homedetails/8120-E-Valley-View-Rd-Scottsdale-AZ-85250/7839544_zpid/,-111.905,33.519,385.001,rental,2500,closed,3,2015-09-29,2015-09-26,South Scottsdale,148,PH
"4354 N 82nd St UNIT 154, Scottsdale, AZ 85251",1,1,790,zillow_ph,http://www.zillow.com/homedetails/4354-N-82nd-St-UNIT-154-Scottsdale-AZ-85251/61628160_zpid/,-111.907,33.4988,379.571,rental,2600,open,,,2015-09-26,South Scottsdale,148,PH
"5995 N 78th St APT 1069, Scottsdale, AZ 85250",1,1,664,zillow_ph,http://www.zillow.com/homedetails/5995-N-78th-St-APT-1069-Scottsdale-AZ-85250/81767909_zpid/,-111.912,33.523,388.197,rental,875,open,,,2015-09-26,South Scottsdale,148,PH
"6620 E Earll Dr APT 2, Scottsdale, AZ 85251",1,1,600,zillow_ph,http://www.zillow.com/homedetails/6620-E-Earll-Dr-APT-2-Scottsdale-AZ-85251/2101016561_zpid/,-111.938,33.4838,383.194,rental,625,closed,3,2015-09-29,2015-09-26,South Scottsdale,148,PH
"7777 E Main St UNIT 159, Scottsdale, AZ 85251",2,2,1130,zillow_ph,http://www.zillow.com/homedetails/7777-E-Main-St-UNIT-159-Scottsdale-AZ-85251/7574289_zpid/,-111.913,33.4917,377.488,rental,3500,closed,2,2015-09-30,2015-09-28,South Scottsdale,148,PH
"7777 E Main St UNIT 153, Scottsdale, AZ 85251",2,2,1130,zillow_ph,http://www.zillow.com/homedetails/7777-E-Main-St-UNIT-153-Scottsdale-AZ-85251/7574283_zpid/,-111.913,33.4917,377.488,rental,2100,closed,2,2015-09-30,2015-09-28,South Scottsdale,148,PH
"7777 E Main St UNIT 144, Scottsdale, AZ 85251",2,2,1130,zillow_ph,http://www.zillow.com/homedetails/7777-E-Main-St-UNIT-144-Scottsdale-AZ-85251/7574275_zpid/,-111.913,33.4917,377.488,rental,1050,open,,,2015-09-28,South Scottsdale,148,PH
"7777 E Main St UNIT 304, Scottsdale, AZ 85251",2,2,1130,zillow_ph,http://www.zillow.com/homedetails/7777-E-Main-St-UNIT-304-Scottsdale-AZ-85251/7574370_zpid/,-111.913,33.4917,377.488,rental,2100,closed,2,2015-09-30,2015-09-28,South Scottsdale,148,PH
"7777 E Main St UNIT 124, Scottsdale, AZ 85251",2,2,1130,zillow_ph,http://www.zillow.com/homedetails/7777-E-Main-St-UNIT-124-Scottsdale-AZ-85251/7574255_zpid/,-111.913,33.4917,377.488,rental,1400,closed,2,2015-09-30,2015-09-28,South Scottsdale,148,PH
"8301 E Wilshire Dr, Scottsdale, AZ 85257",4,2,1983,zillow_ph,http://www.zillow.com/homedetails/8301-E-Wilshire-Dr-Scottsdale-AZ-85257/7580623_zpid/,-111.902,33.476,375.628,rental,2100,open,,,2015-09-28,South Scottsdale,148,PH
"8564 E Indian School Rd UNIT A, Scottsdale, AZ 85251",3,2,1408,zillow_ph,http://www.zillow.com/homedetails/8564-E-Indian-School-Rd-UNIT-A-Scottsdale-AZ-85251/7847745_zpid/,-111.898,33.4965,380.355,rental,1100,open,,,2015-09-27,South Scottsdale,148,PH
"8249 E Bonnie Rose Ave, Scottsdale, AZ 85250",4,2,1773,zillow_ph,http://www.zillow.com/homedetails/8249-E-Bonnie-Rose-Ave-Scottsdale-AZ-85250/7850279_zpid/,-111.902,33.515,384.139,rental,2250,open,,,2015-09-28,South Scottsdale,148,PH
"2114 N 70th St, Scottsdale, AZ 85257",3,2,1618,zillow_ph,http://www.zillow.com/homedetails/2114-N-70th-St-Scottsdale-AZ-85257/7569257_zpid/,-111.931,33.4718,380.102,rental,1400,open,,,2015-09-27,South Scottsdale,148,PH
"8100 E Camelback Rd # 145, Scottsdale, AZ 85251",2,2,1605,zillow_ph,http://www.zillow.com/homedetails/8100-E-Camelback-Rd-145-Scottsdale-AZ-85251/7843412_zpid/,-111.906,33.5026,380.52,rental,1895,open,,,2015-09-28,South Scottsdale,148,PH
"2614 N 72nd Pl UNIT 3, Scottsdale, AZ 85257",2,1,775,zillow_ph,http://www.zillow.com/homedetails/2614-N-72nd-Pl-UNIT-3-Scottsdale-AZ-85257/2117123375_zpid/,-111.925,33.4772,375.523,rental,875,closed,2,2015-09-30,2015-09-28,South Scottsdale,148,PH
"6711 E Camelback Rd UNIT 36, Scottsdale, AZ 85251",3,2,2136,zillow_ph,http://www.zillow.com/homedetails/6711-E-Camelback-Rd-UNIT-36-Scottsdale-AZ-85251/7845754_zpid/,-111.938,33.5015,393.285,rental,2800,closed,2,2015-09-30,2015-09-28,South Scottsdale,148,PH
