property_id,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
20771,"5127 W Headstall Trl, Phoenix, AZ 85083",5,4,4070,zillow_ph,http://www.zillow.com/homedetails/5127-W-Headstall-Trl-Phoenix-AZ-85083/71606797_zpid/,-112.172,33.715,436.825,2005,0,1,,,91542,rental,2400,closed,23,2016-02-09,2016-01-17,Deer Valley,307,PH
20773,"514 E Marco Polo Rd, Phoenix, AZ 85024",3,2,1168,zillow_ph,http://www.zillow.com/homedetails/514-E-Marco-Polo-Rd-Phoenix-AZ-85024/7967929_zpid/,-112.067,33.6665,437.465,1986,0,1,,,91548,rental,1275,closed,7,2016-02-08,2016-02-01,Deer Valley,307,PH
20775,"5311 W Hackamore Dr, Phoenix, AZ 85083",3,2,1916,zillow_ph,http://www.zillow.com/homedetails/5311-W-Hackamore-Dr-Phoenix-AZ-85083/67791081_zpid/,-112.175,33.7139,435.603,2006,0,1,,,91557,rental,1550,closed,23,2016-02-19,2016-01-27,Deer Valley,307,PH
20776,"5337 W Molly Ln, Phoenix, AZ 85083",3,2,1661,zillow_ph,http://www.zillow.com/homedetails/5337-W-Molly-Ln-Phoenix-AZ-85083/82823548_zpid/,-112.174,33.7266,450.72,2007,0,1,,,91559,rental,1375,closed,35,2016-02-08,2016-01-04,Deer Valley,307,PH
20777,"5376 W Molly Ln, Phoenix, AZ 85083",2,2,1529,zillow_ph,http://www.zillow.com/homedetails/5376-W-Molly-Ln-Phoenix-AZ-85083/88789404_zpid/,-112.174,33.7271,451.491,2008,0,1,,,91563,rental,1295,closed,44,2016-02-02,2015-12-20,Deer Valley,307,PH
20777,"5376 W Molly Ln, Phoenix, AZ 85083",2,2,1529,zillow_ph,http://www.zillow.com/homedetails/5376-W-Molly-Ln-Phoenix-AZ-85083/88789404_zpid/,-112.174,33.7271,451.491,2008,0,1,,,91564,rental,1200,closed,14,2016-02-03,2016-01-20,Deer Valley,307,PH
20777,"5376 W Molly Ln, Phoenix, AZ 85083",2,2,1529,zillow_ph,http://www.zillow.com/homedetails/5376-W-Molly-Ln-Phoenix-AZ-85083/88789404_zpid/,-112.174,33.7271,451.491,2008,0,1,,,91562,rental,1150,closed,48,2016-02-02,2015-12-16,Deer Valley,307,PH
20778,"5433 W Red Bird Rd, Phoenix, AZ 85083",3,3,2751,zillow_ph,http://www.zillow.com/homedetails/5433-W-Red-Bird-Rd-Phoenix-AZ-85083/82228599_zpid/,-112.176,33.7288,453.076,2007,0,1,,,91567,rental,2250,closed,14,2016-02-11,2016-01-28,Deer Valley,307,PH
20782,"5721 W Leiber Pl, Glendale, AZ 85310",7,5,5260,zillow_ph,http://www.zillow.com/homedetails/5721-W-Leiber-Pl-Glendale-AZ-85310/60979741_zpid/,-112.184,33.7054,426.091,2003,0,1,,,91586,rental,2750,closed,15,2012-03-04,2012-02-18,Deer Valley,307,PH
20782,"5721 W Leiber Pl, Glendale, AZ 85310",7,5,5260,zillow_ph,http://www.zillow.com/homedetails/5721-W-Leiber-Pl-Glendale-AZ-85310/60979741_zpid/,-112.184,33.7054,426.091,2003,0,1,,,91587,rental,3150,closed,27,2013-03-11,2013-02-12,Deer Valley,307,PH
20783,"5835 W Cielo Grande, Glendale, AZ 85310",5,3,3350,zillow_ph,http://www.zillow.com/homedetails/5835-W-Cielo-Grande-Glendale-AZ-85310/7926635_zpid/,-112.186,33.7016,425.094,1995,0,1,,,91610,rental,2200,closed,19,2011-09-02,2011-08-14,Deer Valley,307,PH
20786,"5936 W Leiber Pl, Glendale, AZ 85310",4,2,2078,zillow_ph,http://www.zillow.com/homedetails/5936-W-Leiber-Pl-Glendale-AZ-85310/60222642_zpid/,-112.189,33.7054,423.309,2003,0,1,,,91620,rental,1450,closed,91,2015-01-20,2014-10-21,Deer Valley,307,PH
20786,"5936 W Leiber Pl, Glendale, AZ 85310",4,2,2078,zillow_ph,http://www.zillow.com/homedetails/5936-W-Leiber-Pl-Glendale-AZ-85310/60222642_zpid/,-112.189,33.7054,423.309,2003,0,1,,,91621,rental,1450,closed,24,2016-02-08,2016-01-15,Deer Valley,307,PH
20789,"6140 W Gambit Trl, Phoenix, AZ 85083",3,2,2214,zillow_ph,http://www.zillow.com/homedetails/6140-W-Gambit-Trl-Phoenix-AZ-85083/59268824_zpid/,-112.193,33.7359,452.654,2003,1,1,,,91635,rental,1625,closed,81,2016-02-18,2015-11-29,Deer Valley,307,PH
20789,"6140 W Gambit Trl, Phoenix, AZ 85083",3,2,2214,zillow_ph,http://www.zillow.com/homedetails/6140-W-Gambit-Trl-Phoenix-AZ-85083/59268824_zpid/,-112.193,33.7359,452.654,2003,1,1,,,121941,rental,1750,closed,92,2014-08-09,2014-05-09,Deer Valley,307,PH
20789,"6140 W Gambit Trl, Phoenix, AZ 85083",3,2,2214,zillow_ph,http://www.zillow.com/homedetails/6140-W-Gambit-Trl-Phoenix-AZ-85083/59268824_zpid/,-112.193,33.7359,452.654,2003,1,1,,,126635,rental,1625,closed,,2016-02-28,,Deer Valley,307,PH
20795,"6416 W Straight Arrow Ln, Phoenix, AZ 85083",4,2,2433,zillow_ph,http://www.zillow.com/homedetails/6416-W-Straight-Arrow-Ln-Phoenix-AZ-85083/67771244_zpid/,-112.199,33.7334,453.585,2004,0,1,,,91662,rental,1699,closed,22,2015-01-06,2014-12-15,Deer Valley,307,PH
20796,"6501 W Molly Ln, Phoenix, AZ 85083",3,2,2079,zillow_ph,http://www.zillow.com/homedetails/6501-W-Molly-Ln-Phoenix-AZ-85083/55262452_zpid/,-112.2,33.7272,444.534,2002,0,1,,,91667,rental,1500,closed,19,2013-12-10,2013-11-21,Deer Valley,307,PH
20796,"6501 W Molly Ln, Phoenix, AZ 85083",3,2,2079,zillow_ph,http://www.zillow.com/homedetails/6501-W-Molly-Ln-Phoenix-AZ-85083/55262452_zpid/,-112.2,33.7272,444.534,2002,0,1,,,91666,rental,1600,closed,30,2013-09-21,2013-08-22,Deer Valley,307,PH
20799,"6620 W Whispering Wind Dr, Glendale, AZ 85310",3,2,1138,zillow_ph,http://www.zillow.com/homedetails/6620-W-Whispering-Wind-Dr-Glendale-AZ-85310/7926991_zpid/,-112.202,33.7092,419.647,1999,0,1,,,91689,rental,1350,closed,16,2016-02-14,2016-01-29,Deer Valley,307,PH
20801,"707 E Potter Dr, Phoenix, AZ 85024",4,2,2178,zillow_ph,http://www.zillow.com/homedetails/707-E-Potter-Dr-Phoenix-AZ-85024/7991039_zpid/,-112.065,33.674,443.046,1998,0,1,,,91702,rental,1500,closed,89,2012-08-04,2012-05-07,Deer Valley,307,PH
20806,"907 E Mohawk Dr, Phoenix, AZ 85024",3,3,2057,zillow_ph,http://www.zillow.com/homedetails/907-E-Mohawk-Dr-Phoenix-AZ-85024/50181990_zpid/,-112.061,33.6727,447.143,1999,1,1,,,91738,rental,1495,closed,17,2012-11-06,2012-10-20,Deer Valley,307,PH
20806,"907 E Mohawk Dr, Phoenix, AZ 85024",3,3,2057,zillow_ph,http://www.zillow.com/homedetails/907-E-Mohawk-Dr-Phoenix-AZ-85024/50181990_zpid/,-112.061,33.6727,447.143,1999,1,1,,,91739,rental,1550,closed,26,2014-05-15,2014-04-19,Deer Valley,307,PH
20808,"927 E Annette Dr, Phoenix, AZ 85022",2,2,1195,zillow_ph,http://www.zillow.com/homedetails/927-E-Annette-Dr-Phoenix-AZ-85022/8002690_zpid/,-112.06,33.6533,429.696,1991,0,1,,,91748,rental,1000,closed,79,2014-04-07,2014-01-18,Deer Valley,307,PH
21840,"1635 W Villa Maria Dr, Phoenix, AZ 85023",3,2,1272,zillow_ph,http://www.zillow.com/homedetails/1635-W-Villa-Maria-Dr-Phoenix-AZ-85023/7957401_zpid/,-112.096,33.6515,418.935,1973,0,1,,,98019,rental,1099,closed,103,2014-04-07,2013-12-25,Deer Valley,307,PH
21840,"1635 W Villa Maria Dr, Phoenix, AZ 85023",3,2,1272,zillow_ph,http://www.zillow.com/homedetails/1635-W-Villa-Maria-Dr-Phoenix-AZ-85023/7957401_zpid/,-112.096,33.6515,418.935,1973,0,1,,,98020,rental,1149,closed,18,2015-12-18,2015-11-30,Deer Valley,307,PH
21842,"20419 N 37th Ave, Glendale, AZ 85308",3,2,1567,zillow_ph,http://www.zillow.com/homedetails/20419-N-37th-Ave-Glendale-AZ-85308/7936578_zpid/,-112.14,33.6715,410.14,1995,1,1,,,98028,rental,1200,closed,14,2016-02-16,2016-02-02,Deer Valley,307,PH
