id,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
133,701 Minnesota Street #119,1,1,800,climbsf_rented,http://www.climbsf.com/for-rent/701-minnesota-st-119/,-122.39,37.7613,15.3004,,,1,,0.0271089,133,rental,3300,closed,,2014-02-21,,Central Waterfront/Dogpatch,89,SF
134,301 Main Street #10C,1,1,805,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-10c/,-122.391,37.7895,0.0,,,10,1,0.0350321,134,rental,3900,closed,,2014-02-22,,South Beach,74,SF
,435 China Basin Street #441,2,2,0,climbsf_rented,http://www.climbsf.com/for-rent/435-china-basin-st-441/,-122.389,37.7716,1.8728,,,4,,0.0354013,135,rental,4900,closed,,2014-02-25,,Mission Bay,48,SF
136,1536 Pacific Avenue #5,2,2,1407,climbsf_rented,http://www.climbsf.com/for-rent/1536-pacific-ave-5/,-122.421,37.7954,55.4548,,,1,,0.00578014,136,rental,6000,closed,,2014-02-27,,Nob Hill,93,SF
137,1837 Jefferson Street,2,2,1345,climbsf_rented,http://www.climbsf.com/for-rent/1837-jefferson-st/,-122.443,37.8045,6.83862,,,1,,0.00354401,137,rental,6200,closed,,2014-03-04,,Marina,43,SF
,300 Ivy Street #403,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/300-ivy-st-403/,-122.423,37.7774,20.4928,,,4,1,0.0101435,138,rental,3500,closed,,2014-03-10,,Hayes Valley,27,SF
139,301 Main Street #23F,2,2,1300,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-23f/,-122.391,37.7894,4.83899e-05,,,23,1,0.0350366,139,rental,5500,closed,,2014-03-11,,South Beach,74,SF
140,655 Fifth Street #1,1,2,1000,climbsf_rented,http://www.climbsf.com/for-rent/655-5th-st-1/,-122.398,37.7759,2.73163,,,1,,0.0318121,140,rental,3600,closed,,2014-03-11,,South of Market,75,SF
141,400 Beale Street #911,2,2,995,climbsf_rented,http://www.climbsf.com/for-rent/400-beale-st-911/,-122.391,37.7871,7.36737,,,9,1,0.0352166,141,rental,3950,closed,,2014-03-18,,South Beach,74,SF
142,200 Brannan Street #323,1,1,783,climbsf_rented,http://www.climbsf.com/for-rent/200-brannan-st-323/,-122.391,37.7836,4.98208,,,3,1,0.0357737,142,rental,3400,closed,,2014-03-18,,South Beach,74,SF
143,88 King Street #106,2,2,1293,climbsf_rented,http://www.climbsf.com/for-rent/88-king-st-106/,-122.389,37.7807,3.99835,,,1,1,0.0384069,143,rental,4750,closed,,2014-03-25,,South Beach,74,SF
144,388 Townsend Street #4,1,2,940,climbsf_rented,http://www.climbsf.com/for-rent/388-townsend-st-4/,-122.397,37.7759,2.76722,,,1,,0.0326957,144,rental,3700,closed,,2014-03-25,,South of Market,75,SF
145,325 Berry Street #502,2,2,1514,climbsf_rented,http://www.climbsf.com/for-rent/325-berry-st-502/,-122.396,37.7736,2.45283,,,5,,0.0324236,145,rental,5900,closed,,2014-03-25,,South Beach,74,SF
